id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff
401525434,2023,1,regular,2023-08-26T18:30:00.000Z,False,True,True,False,49000.0,3504.0,Aviva Stadium,87,Notre Dame,fbs,FBS Independents,42.0,"[14, 14, 7, 7]",0.9764059782028198,1733.0,1819.0,2426,Navy,fbs,American Athletic,3.0,"[0, 0, 0, 3]",0.023594021797180176,1471.0,1385.0,1.6464656004293619,,,
401540199,2023,1,regular,2023-08-26T19:30:00.000Z,False,True,True,False,,3689.0,Cramton Bowl,2382,Mercer,fcs,Southern,17.0,"[7, 3, 0, 7]",0.9685580730438232,,,2453,North Alabama,fcs,UAC,7.0,"[7, 0, 0, 0]",0.03144192695617676,,,4.165937017377442,,,
401520145,2023,1,regular,2023-08-26T21:30:00.000Z,False,True,False,True,17982.0,3662.0,AmFirst Stadium,55,Jacksonville State,fbs,Conference USA,17.0,"[3, 7, 7, 0]",0.8074830770492554,1500.0,1499.0,2638,UTEP,fbs,Conference USA,14.0,"[0, 7, 0, 7]",0.19251692295074463,1369.0,1370.0,4.604489649314535,,,
401525450,2023,1,regular,2023-08-26T23:00:00.000Z,False,True,False,False,15356.0,3601.0,Aggie Memorial Stadium,166,New Mexico State,fbs,Conference USA,30.0,"[0, 10, 0, 20]",0.11750931292772293,1322.0,1274.0,113,Massachusetts,fbs,FBS Independents,41.0,"[7, 3, 3, 28]",0.8824906870722771,1074.0,1122.0,5.430057635222613,,,
401532392,2023,1,regular,2023-08-26T23:00:00.000Z,False,True,False,False,23867.0,7311.0,Snapdragon Stadium,21,San Diego State,fbs,Mountain West,20.0,"[3, 7, 0, 10]",0.8783165216445923,1488.0,1497.0,195,Ohio,fbs,Mid-American,13.0,"[3, 3, 0, 7]",0.12168347835540771,1482.0,1473.0,5.105936586622695,,,
401540628,2023,1,regular,2023-08-26T23:00:00.000Z,False,True,False,False,,4419.0,Bob Ford Field,399,UAlbany,fcs,Coastal Athletic,34.0,"[7, 14, 3, 10]",0.9600834846496582,,,2230,Fordham,fcs,Patriot,13.0,"[3, 3, 7, 0]",0.0399165153503418,,,3.5321785113608146,,,
401520147,2023,1,regular,2023-08-26T23:30:00.000Z,False,True,False,False,21407.0,3973.0,FirstBank Stadium,238,Vanderbilt,fbs,SEC,35.0,"[14, 7, 7, 7]",0.31702595949172974,1322.0,1327.0,62,Hawai'i,fbs,Mountain West,28.0,"[7, 7, 0, 14]",0.6829740405082703,1246.0,1241.0,4.0057227822225805,,,
401539999,2023,1,regular,2023-08-26T23:30:00.000Z,False,True,True,False,,4246.0,Center Parc Stadium,2296,Jackson State,fcs,SWAC,37.0,"[7, 10, 17, 3]",0.9922460317611694,,,2569,South Carolina State,fcs,MEAC,7.0,"[0, 0, 0, 7]",0.007753968238830566,,,1.88069837124351,,,
401523986,2023,1,regular,2023-08-27T00:00:00.000Z,False,True,False,False,63411.0,477.0,Los Angeles Memorial Coliseum,30,USC,fbs,Pac-12,56.0,"[7, 14, 21, 14]",0.9233670830726624,1663.0,1713.0,23,San José State,fbs,Mountain West,28.0,"[0, 14, 7, 7]",0.07663291692733765,1462.0,1412.0,3.430252536771744,,,
401520146,2023,1,regular,2023-08-27T01:00:00.000Z,False,True,False,True,16299.0,3776.0,Joe Aillet Stadium,2348,Louisiana Tech,fbs,Conference USA,22.0,"[0, 13, 0, 9]",0.9391083121299744,1251.0,1249.0,2229,Florida International,fbs,Conference USA,17.0,"[14, 3, 0, 0]",0.060891687870025635,1072.0,1074.0,5.388823302392496,,,
